token,temp/tokens_syntax_preprocessing_d9f8cae.json,temp/tokens_syntax_preprocessing_369f7c25.json
Emb-Kumb,"    ""emb-kumb"" L0 P invalid sg nom cap","    ""emb-kumb"" L0 P det sg nom cap"
Emb-kumb,"    ""emb-kumb"" L0 P invalid sg nom cap","    ""emb-kumb"" L0 P det sg nom cap"
Emba-kumba,"    ""emb-kumb"" L0 P invalid sg adit cap","    ""emb-kumb"" L0 P det sg adit cap"
Emma-kumma,"    ""emb-kumb"" L0 P invalid sg gen cap","    ""emb-kumb"" L0 P det sg gen cap"
Emmal-kummal,"    ""emb-kumb"" Ll P invalid sg ad cap","    ""emb-kumb"" Ll P det sg ad cap"
emb-kumb,"    ""emb-kumb"" L0 P invalid sg nom","    ""emb-kumb"" L0 P det sg nom"
emb-kummale,"    ""emb-kumb"" Lle P invalid sg all","    ""emb-kumb"" Lle P det sg all"
emba-kumba,"    ""emb-kumb"" L0 P invalid sg adit","    ""emb-kumb"" L0 P det sg adit"
emma-kumma,"    ""emb-kumb"" L0 P invalid sg gen","    ""emb-kumb"" L0 P det sg gen"
emma-kummaga,"    ""emb-kumb"" Lga P invalid sg kom","    ""emb-kumb"" Lga P det sg kom"
emma-kummagagi,"    ""emb-kumb"" Lgagi P invalid sg kom","    ""emb-kumb"" Lgagi P det sg kom"
emmaks-kummaks,"    ""emb-kumb"" Lks P invalid sg tr","    ""emb-kumb"" Lks P det sg tr"
emmal-kummal,"    ""emb-kumb"" Ll P invalid sg ad","    ""emb-kumb"" Ll P det sg ad"
emmale-kummale,"    ""emb-kumb"" Lle P invalid sg all","    ""emb-kumb"" Lle P det sg all"
emmas-kummas,"    ""emb-kumb"" Ls P invalid sg in","    ""emb-kumb"" Ls P det sg in"
emmast-kummast,"    ""emb-kumb"" Lst P invalid sg el","    ""emb-kumb"" Lst P det sg el"
